VendorAddress,VendorID,VendorINN,VendorNm
"г.Москва, 3-й пр-д Перовополе, 8, стр.1, 143900, г.Балашиха, Западная коммунальная зона, ш.Энтузиастов, вл.1А",78,7720506604,"ЗАО ""Лекрус"""
"г.Курск, ул.Серегина, 29",79,4632033463,"ОАО ""Курская Фармация"", Аптека №8"
"141101, Московская обл., г. Щелково, ул. Фабричная,д.2",80,5050008117,"ОАО ""Валента фармацевтика"""
"460001, г.Оренбург, ул.Чкалова, 3/1",81,5610096165,"ООО ""Оренбургская неотложка"""
"г.Курган, ул.Пушкина, 91",82,4501127083,"ОАО ""Курганфармация"""
"155800, г.Кинешма, ул.Островского, 8",83,3703012333,"ООО ""Волжская мануфактура"""
"432008, г.Ульяновск, ул.Пожарского, 25А",85,7319000865,"ООО ""Биотэк-Ульяновск"""
"г.Ростов-на-Дону, ул. 1-я Майская. 14",86,6167043891,"ООО ""Биогем-2"""
"634057, г.Томск, ул.Говорова, 1/1",87,7017053250,"ООО ""Вита-Фарм"""
г.Тольятти,88,,"МУЗ ""Клиническая больница №5"""
"191014, г.Санкт-Петербург, ул.Фонтанная, 5, лит.А, пом.11-Н",89,7842429749,"ООО ""АльфаМед"""
"г.Москва, ул.Тверская д.22, 143080 М.О.Одинцовский р-н, пос.Лесной Городок, ул.Энергетиков 10",93,7705018169,"ЗАО ""Авентис Фарма"""
"г.Воронеж, ул.Кольцовская, 4",94,3666005342,"ООО ""Ситифарм"""
"109052 г.Москва Новохохловская,25",96,7722059711,"ФГУП ""Московский эндокринный завод"""
"414041, г.Астрахань, ул.11-й Красной Армии, 9, кв.2",97,3017052210,"ООО ""Социальные аптеки"""
"358009, г.Элиста, ул.С.М.Буденного, 7А",98,0816004320,"ООО ""Фармтехнологии"""
"г.Уфа, ул.Владивостокская, 3а",100,0275000630,"ООО ""ЦСИ ""Физкультура и здоровье"""
"656062, г. Барнаул, ул. Попова, 242",101,7724053916,"ЗАО ""Фирма ""Центр внедрения ""Протек"", г. Барнаул"
"г.Ульяновск, ул.Гончарова, 46",102,7326033364,"ОАО ""УльяновскФармация"""
"Краснодарский край, г. Славянск-на-Кубани, ул. Больничная, 5",104,234901050224,ИП Синченко Л.Б.
"308007, г.Белгород, ул.Студенческая, 6",105,3123110129,"ООО ""Полюс Фарм"""
"194362, г.Санкт-Петербург, пос.Парголово, Выборгское ш., 224, литера А, г.Санкт-Петербург, Большеохотинский пр-д, 41",106,7806005744,"ЗАО ""Торгово-Промышленное Предприятие Северо-Запад"""
"600022, г.Владимир, ул.Солнечная, 54",107,3327329350,"ООО ""Атолл"""
"460000, г.Оренбург, ул.Советская, 1, кв.19",109,5610049140,"ООО ""Фармавир"""
"628404, г.Сургут, ул.Энергостроителей, 4, стр.1",110,7724053916,"ЗАО ""Фирма ""Центр внедрения ""Протек"", филиал №40, г.Сургут"
"115201, г.Москва, 1-й Котляковский пер., 3",112,7726545448,"ООО ""Фармацевтическая компания ""Геофарм"""
"414000, г.Астрахань, ул.Свердлова, 97/2/96, кв.33",113,301812553030,ИП Матвеева Татьяна Павловна
"185005, г.Петрозаводск, ул.Володарского, 3",114,1001000742,"ГУП РК ""Карелфарм"""
"Тула, пос. Скуратовский, ул. ЭКСПЕРИМЕНТАЛЬНАЯ, 8",115,7118017964,"ООО ""Медиа Стар"""
,116,7451003399,"ОГУП ""Областной аптечный склад"""
"394061, г.Воронеж, пр-т Труда, 6, корп.4",117,3662091439,"ООО ""Фармацевтическая компания ""МВС"""
"185035, г.Петрозаводск, ул.Ленина, 20",118,1001085337,"ООО ""Компания ""Аптечная сеть ""Ремедиос"""
"г.Благовещенск, ул.Пионерская, 33",119,2801016937,"ОАО ""Амурфармация"", Аптека №2"
"659306, г.Бийск, пер.Коммунарский, 27",120,2226005276,"МУП ""Аптека №274"""
"414000, г. Астрахань, ул. Украинская, д. 3, литер Б1",121,3016057174,"ООО ""Астрахань-Фарм"""
"600033, г.Владимир, ул.Сущевская, 37",123,3327837360,"ООО ""Верея"""
"362021, г.Владикавказ, ул.Иристонская, 8, кв.6",127,150301126139,ИП Боцоева Залина Еристауевна
"214019, г. Смоленск, пос. Тихвинка, 10А",128,6731044438,"ООО ""Смоленск-Фармация"""
"390023, г.Рязань, ул.Циолковского, 11",129,6230006992,"ООО ""Аптека №6"""
"153042, г.Иваново, ул.Люлина, 5, кв.2",130,370220554399,ИП Седова Ирина Германовна
"г.Саратов, ул.Хомякова, 20А, оф.2",131,6451220715,"ООО ""Резерв 98"""
"610048, г.Киров, пр-т Строителей, 26",134,4346019718,"Кировское ОГУП ""Аптека №107"""
"650024, г. Кемерово, ул. Радищева, 1",135,7724053916,"ЗАО ""Фирма ""Центр внедрения ""Протек"", филиал №37, г.Кемерово"
"г.Тамбов, ул.Рылеева, 53",136,7736012505,"ЗАО ""Надежда-Фарм"""
"400007, г.Волгоград, пр-т Металлургов, 30",139,3442106217,"ООО ""ЭкстремФарм"""
"620046, г.Екатеринбург, ул.Артинская, 23А",140,6659080538,"ООО ""Региональное фармацевтическое объединение"""
"142450 Московская обл., Ногинский р-н, пос.Старая Купавна, ул.Кирова, д.29",141,5031013320,"ОАО ""Химико-фармацевтический комбинат ""Акрихин"""
"г.Кызыл, ул.Московская, 104, кв.64",142,1701034465,"ООО ""Аржаана-Фарм"""
"г.Киров, ул.Производственная, 15",143,4346019690,"Кировское ОГУП ""Аптека №211"""
г.Тюмень,144,7203241685,"ООО ""Фармсервис"""
"192174, г. Санкт-Петербург, ул. Репищева, д. 14 лит.А",145,7811062339,"ЗАО ""Фармакор"""
"117049, г.Москва, ул.Донская, 4,стр.1, г.Москва, ул.Тюменская, 5, стр.15",146,7706193269,"ООО ""Фарм-Проект-М"""
,147,,"ЗАО ""АстраЗенека ЮК Лтд"""
"117042, г.Москва, ул.Горчакова, 1, г.Москва, ул.Песчаный карьер, 3, стр.1-1Б, г.Москва, Ленинский пр-т, 156, стр.1",148,7729350817,"ЗАО ""Аптека-Холдинг"""
"г.Ставрополь, ул.Ковалева, 19",149,2636036510,"ООО ""Ставропольский аптечный склад"""
г.Дагестанские огни,151,,"ЗАО ""Аптека ""Санте"""
,152,4632033463,"ОАО ""Курская Фармация"", Аптека №144"
"115088, г.Москва, ул.1-я Дубровская, 15",154,7722292838,"ФГУП ""НПО по медицинским иммунобиологическим препаратам ""Микроген"""
,156,,"МУП ""Орская городская аптека"""
"141700 Московская обл, г. Долгопрудный, Лихачевский проезд,5",159,7701166409,"ООО ""Фармстандарт"""
"625019,г. Тюмень, ул. Республики, 206 стр 19",161,7724053916,"ЗАО ""Фирма ""Центр внедрения ""Протек"", филиал №35, г.Тюмень"
"143422, Красногорский р-н, с.Петрово-Дальнее",164,5024098393,"ООО ""Биокад-Фарм"""
"156010, г.Ярославль, ул.Марголина, 22",165,7724053916,"ЗАО ""Фирма ""Центр внедрения ""Протек"", филиал №4, г.Ярославль"
"683006, г.Петропавловск-Камчатский, пр-т Победы, 3",167,4101102969,"ООО ""Радуга-Камчатка"""
"414011, г.Астрахань, ул.Украинская, 3, лит.Б1, пом.4",168,,"ООО ""Биотэк-Астрахань"""
"680031, г.Хабаровск, ул.Карла Маркса, 182",171,2724069628,"ООО ""Компания ""Хабаровская фармация"""
"г.Санкт-Петербург, ул.Льва Толстого, 6-8",172,7813096118,"ООО ""Региональный центр содействия здравоохранению ""Ленмединформ"""
"308013, г.Белгород, ул.Рабочая, 14",174,3123083115,"ЗАО ""СИА Интернейшнл Лтд"""
"302001, г.Орел, ул.Красина, 6А",179,5752004272,"ГУП Орловской области ""Орелфармация"""
"344007, г.Ростов-на-Дону, ул.Максима Горького, 260/264",182,6164082099,"ООО ""Научно-производственная коммерческая фирма ""Донфармация"""
"675000, г.Благовещенск, ул.Промышленная, 7",183,2801060118,"ООО ""Фарм-Экспресс"""
"367000, г.Махачкала, пр-т Петра 1, 21",185,0541024224,"ООО ""Фирма ""АС-Престиж"""
"655017, г.Абакан, ул.Кирова, 97, пом.89Н",186,1900000076,"ГУП РХ ""Ресфармация"""
"г.Хабаровск, ул.Ташкентская, 22",187,2702010564,"ОАО ""Дальхимфарм"""
"630028, г.Новосибирск, ул.Декабристов, 275",188,5405101302,"ОАО ""Новосибхимфарм"""
"г.Киров ул.Производственная, 24",189,7724053916,"ЗАО ""Фирма ""Центр внедрения ""Протек"", филиал №26, г.Киров"
"600005, г. Владимир, Промышленный пр-д, 5Б",190,3328000455,"ООО ""СИА Интернейшнл-Владимир"""
"603087, г.Нижний Новгород, ул.Черняховского, 20",191,5260171945,"ООО ""Кватро"""
"г.Хабаровск, пр-д Воронежский, 1, оф.104",194,2724098604,"ООО ""ВостокМедБизнес"""
"623100, г.Первоуральск, ул.Трубников, 25А",195,6625001866,"ЗАО ""Промтовары"""
"115230, г.Москва, Варшавское ш., 41, стр.1",198,7725614265,"ООО ""БСК-Фарма"""
"443068, г.Самара, ул.Новомайская, 34, кв.1",200,6316096130,"ООО ""Биомед"""
"141400, г.Москва",203,7734121869,"ЗАО ""Медстар"""
"192007, г.Санкт-Петербург, ул.Курская. 21, кор.лит.А",205,7808041071,"ЗАО ""Нордбер-Трансфарм"""
"127055, Москва, ул.Новослободская, 26, стр.1",209,7707293851,"ООО ""Медопрофит"""
"г. Воронеж, пр-т Патриотов, 57-а",210,7724053916,"ЗАО ""Фирма ""Центр внедрения ""Протек"", филиал № 15, г. Воронеж"
"428018, г.Чебоксары, ул.Бондарева, 13",211,2126003123,"ГУП ""Фармация"""
"390039, г.Рязань, ул.Бирюзова, 30, корп.1",212,6227010452,"ГУП РО ""Аптечный склад ""Рязань-Фармация"""
"655102, пос.Усть-Абакан, ул.Дзержинского, 7А",213,1910010098,"ООО ""Фармацевтическая компания ""Калина"""
"660062, г.Красноярск, ул.Телевизорная, 8А",214,2463206066,"ООО ""Промедфарм"""
"344011, г.Ростов-на-Дону, ул.Красноармейская, 5 (юр.адрес), 344023, г.Ростов-на-Дону, ул.Страны Советов, 19",215,6164252840,"ООО ""Северо-Кавказская фармацевтическая компания"""
"127206, г.Москва, пр-д Соломенной сторожки, 5, корп.1",216,7713269208,"ЗАО ""АПФ-Трейдинг"""
"430000, г.Саранск, ул.Пролетарская, 87",217,1326199954,"ОАО ""ГаленаФарм"""
"г.Казань, ул.Латышских стрелков, 25",218,1660042111,"МУП ""Медснаб"""
"677000, г. Якутск, ул. Петра Алексеева, 91",219,1435201339,"ОАО ""Сахафармация"""
"153040, г.Иваново, 30-й мкр, 10",220,3702028556,"ООО ""Солекс"""
"614090, г.Пермь, ул.Лодыгина, 57",226,5904120822,"ОАО ""Пермфармация"""
"г.Улан-Удэ, ул.Дальневосточная, 7",232,0323037270,"ГП РБ ""БурятФармация"""
"107143 г.Москва, Открытое шоссе,д.7,корп.1",233,7718538045,"ЗАО ""Ланцет"""
"416111, г.Нариманов, ул.Центральная, 8",234,3008004450,"ГП АО ""Фармация"""
"603138, г.Нижний Новгород, ул.Политбойцов, 12, пом.2",243,5262035962,"ООО ""Фармассоциация"""
"г.Москва, Ореховый б-р, 28",244,7724030595,"ГУЗ ""Городская клиническая больница №83"""
,246,,"ООО ""РФО"""
"г.Москва, ул.Инженерная, 18, корп.2",247,7715733898,"ЗАО ""Озон"""
"392000, г.Тамбов, ул.Коммунальная, 18",248,6829016885,"ОАО ""Тамбовфармация"""
,250,,Йенагексал Фарма ГмбХ
г.Тамбов,252,6833017634,"ЗАО ""Сигма-Ф"""
г. Ижевск,253,1832007271,"ООО ""Фармимпэкс"", Аптека №14"
"197375, г. Санкт-Петербург, ул. Маршала Новикова, 28, корп. 2 ЛИТ. А",257,7810687137,"ООО ""БСС"""
"Челябинск, проспект Победы, 160",263,7448022730,"ЗАО ""СИА Интернейшнл-Челябинск"""
"г.Барнаул, ул Шевченко, 152",264,2221138988,"ООО ""Барнаульская аптека"""
"г. Челябинск, пос. Шершни, ул. Центральная, 3Б",266,7724053916,"ЗАО ""Фирма ""Центр внедрения ""Протек"", филиал № 21, г. Челябинск"
"пос.Ольга, ул.Октябрьская, 24",267,2523000351,"МУП ""Центральная районная аптека №48"""
"ул.Коммунистическая,64",268,1300002949,"МУП ""Аптека №119"""
"603058, г.Нижний Новгород, ул.Шекспира, 12",269,5408130693,"АО ""Научно-производственная компания ""Катрен"""
,271,,Индус Фарма Пвт.Лтд
"410086, г. Саратов, ул. Благодарова, 5",273,6452066537,"ООО ""Аптека №282"""
"150057, г.Ярославль, ул.Ньютона, 42",274,7604129602,"ООО ""Фармацевтическая компания ""Пульс"""
"440003, г.Пенза, ул.Молокова, 20а",275,7724053916,"ЗАО ""Фирма ""Центр внедрения ""Протек"", филиал №33, г.Пенза"
"г.Курск, ул.50 лет Октября, 122",279,4632033463,"ОАО ""Курская Фармация"""
,280,3525022698,"МУП ""ВологдаФарм-Тандем"", Аптека №120"
"г.Курск, ул.Дейнеки,3",281,4632014220,"ООО ""Губернская аптека"""
"Волгоградская оюласть ,г.Волжский, ул. Советская,30",284,7720278588,"ООО ""Каскадлидер"""
"660049, г.Красноярск, ул.Дубровинского, 50",285,2466059067,"ООО ""ЕнисейМед"""
"г.Новосибирск, ул.Ядринцевская, 14, оф.410",287,5406143136,"ЗАО ""Институт здоровья"""
"454053, г.Челябинск, Троицкий тракт, 60, г.Челябинск, ул.Кирова, 141",288,7451003399,"ОГУП ""Областной аптечный склад"""
"г.Волгоград, ул.Пархоменко, 47",290,3445032387,"ООО ""Фэшн Фэбрикс"""
"667003, г.Кызыл, ул.Калинина, 12, кв.65, 667003, г.Кызыл, ул.Калинина, 8, пом.1-9",293,170100593094,ИП Кан-оол Людмила Михайловна
"660062, г.Красноярск, ул.Телевизорная, 7А",295,2466120410,"ГП КК ""Губернские аптеки"", Центральная городская аптека №143"
"420091, г.Казань, ул.Беломорская, 260",296,1658047200,"ОАО ""Татхимфармпрепараты"""
"656038, г.Барнаул, ул.Союза Республик, 30",297,2224006700,"АК ГУП ""Алтаймедтехника"""
"Республика Калмыкия, г.Элиста, 4 м-он, дом 48",298,0816001665,"ООО ""ФармМедСервис"""
"620100, г.Екатеринбург, ул.Декабристов, 4, г.Екатеринбург, ул.Лодыгина, 8, к.23",299,6670188101,"ООО ""Фарм-Бизнес"""
"367003, г.Махачкала, ул.Яракского, 80",302,0562048794,"ООО ""Аптека 36,6"""
"141400 г. Химки, Вашутинское шоссе, 23",303,5047005074,"ФГУП ""Центр специализированного медицинского снабжения ""Центральный аптечный склад №6"" ФМБА Росиии"
"400011, г.Волгоград, ул.Электролесовская, 55",307,3446015391,"ООО ""ЦарицынМедфарм"""
"450075, г.Уфа, ул.Блюхера, 23/2",308,0277018329,"ООО ""Анжелика"""
г.Махачкала,309,056000069735,"ИП Сулейманов А.Д., Аптека ""Ибн-Сина"""
"г. Ростов-на-Дону, пер. Доломановский, д. 185а, оф. 38",310,6164214355,"ООО ""Пальм Корпорейшнл"""
"г. Москва, Ломоносовский пр-т дом 38",312,7743659251,"ЗАО ""Ново Нордиск"""
"344033, г.Ростов-на-Дону, пер.Жлобинский, 18А",313,6163040057,"ООО ""Медина"""
"г.Самара, ул.Партизанская, 33",320,6311070072,"ООО ""Фармбокс интернешнл"""
"г.Санкт-Петербург ул.Асафьева, 9 корп.2, лит.А",324,7802422867,"ООО ""Асто"""
"450040 г.Уфа, ул.Победы, 43, тел.: (347) 239-13-97,238-09-03",325,0277032620,"ООО ""Уралхимфарм"""
"г.Чита, ул.Логовая, 92",326,7536070845,"ООО ""Аптечная сеть ""Ортопро"""
"г.Буйнакск, мкр Дружба, 35, кв.16",327,0543000211,"МУП ""Аптека №111"""
,328,,"ООО ""ТПК ""Лара Транзит"""
"119121, г.Москва, 1-ый Неопалимовский пер., 16/13, оф.1",332,7704150140,"ООО ""Морон"""
"656019, г.Барнаул, ул.Островского, 4, кв.88",333,222301597544,ИП Боговиз Татьяна Валентиновна
"г. Санкт-Петербург, пер. Пирогова, 15 литер А",337,7810503485,"ООО ""Альянс"""
"г.Курск, ул.Прогулочная, 2, кв.85",338,,ИП Данильченко О.А.
"690034, г.Владивосток, ул.Воропаева, 9",340,2536153669,"ОАО ""Владивостокская фармацевтическая фабрика"""
г.Тамбов,341,7724053916,"ЗАО ""Фирма ""Центр внедрения ""Протек"", филиал №9, г.Тамбов"
"620102, г.Екатеринбург, ул.Заводская, 29",342,6658122658,"ООО ""Медицинское объединение ""Новая больница"""
"г.Сыктывкар, ул.Советская, 1",344,1101107584,"ООО ""ВДФ ""Акцепт"""
,346,3662013310,"ГУП ВО ""Воронежфармация"", Аптека №216"
"610021, г.Киров, ул.космонавта Волкова, 1",349,4347029500,"Кировское ОГУП ""Аптечный склад"""
"424019, г.Йошкар-Ола, ул.Анникова, 3",352,1215100790,"ООО ""Биотэк-Волга"""
"город Нижний Тагил, Свердловская область, пр. Ленина 46",353,6623017437,"ООО ""Центральная аптека"""
"344064, г.Ростов-на-Дону, ул.Вавилова, 59 Д",356,6165132948,"ООО ""Компания ""Органика-Юг"""
"248000, г.Калуга, ул.Кирова, 45/16",357,4027023972,"ООО ""Кедр-1"""
"644070, г.Омск, ул.Куйбышева, 48",359,5504115553,"ЗАО ""Медицинская компания ""ФармАльянс"""
"394051, г.Воронеж, ул.Ю.Янониса, 1",362,3665012499,"ООО ""АМП"""
620064 г.Екатеринбург,363,6661014645,"ФГУ ""Уральское управление материально-технического и военного снабжения"" МВД России"
,364,,"ООО ""Оптофарм Плюс"""
"414056, г.Астрахань, пер. Смоляной, 2",365,3016023880,"ООО ""Фармацевтическая предприятие ""Астрафарм"""
"460044, г.Оренбург, ул.Космическая, 4",366,5609031597,"ЗАО ""СИА Интернейшнл Лтд"""
"677027, гЯкутск, ул.Ярославского, 26, кв.9",367,143524228729,ИП Андросова Алена Владимировна
"Моск. обл.,г. Долгопрудный,Лихачевскмий проезд,д.5",369,5008030888,"ООО ""Фарм-Терра"""
"г.Москва, ул.Большие Каменщики, 9",370,7705721727,"ОАО ""Мосхимфармпрепараты им.Н.А.Семашко"""
"690003, г.Владивосток, ул.Верхнепортовая, 2А",371,2540059700,"ООО ""Санда-Фарм"""
"664020, г.Иркутск, ул.Новаторов, 3А",372,3810043008,"ООО ""Мелодия здоровья"""
г.Дальнегорск,373,2505001698,"ООО ""Фитофарм"""
,376,,"МП ""Фармация"""
"452920, г.Агидель, ул.Дружбы, 5 (юр.адрес)",378,0253003637,"ООО ""Медико-технический центр ""Агидель"""
"454046, г.Челябинск, ул.Гагарина, 52",379,745300017009,ИП Русалев В.Г.
"с.Октябрьское, ул.Таежная, 10-2",380,7014036257,"ООО ""Рэймед-Т"""
"355037, г.Ставрополь, ул.Шпаковская, 66",384,2635039029,"ООО ""Альянс"""
"390000, г.Рязань, ул.Чапаева, 57",385,6227007019,"ООО ""Инвестфарм"""
"г.Омск, ул.36-я Северная",388,5507040200,"ООО ""Экопром"""
,392,,"ООО ""Аптека от Вашего доктора"""
"457650, Нагайбакский р-н, с.Фершампенуаз, ул.Блюхера, 32/2",394,743500738646,ИП Цуканова Наталья Николаевна
"369000, г.Черкесск, Центальный рынок, район молочного павильона",395,0901045335,"ООО ""Таукел"""
"117105, г. Москва, Варшавское ш, дом № 1, строение 1-2, комната 47,51",398,7729079361,"ООО ""Виренд Интернейшнл"""
"г. Ижевск, ул. 40 лет Победы,140",399,1808207939,"ООО ""Мир здоровья"""
"г.Владивосток, ул.Русская, 94",400,2539070837,"ООО ""Астра Фарм"""
"309530, г.Старый Оскол, пр-т Металлургов, 2",404,3128036662,"ООО ""Мудрый лекарь"""
170033 г. Тверь ул. Коминтерна 77,405,6900000205,"ОГУП ""Фармация"""
"690034, г.Владивосток, ул.Воропаева, 22, оф.1",411,2536175736,"ООО ""Алайд Фарма"""
"305035, г.Курск, 2-ой Благодатный пер, 29",412,463212548146,ИП Шелехова Лилия Михайловна
"432071, г.Ульяновск, ул.Энтузиастов, 1а",416,7724053916,"ЗАО ""Фирма ""Центр внедрения ""Протек"", филиал №29, г.Ульяновск"
"Поселок Оболенск, корпус 9-8",417,5077009710,"ЗАО ""Фармацевтическое предприятие ""Оболенское"""
"107113, г.Москва, ул.Маленковская, 14, корп.1, 107014, г.Москва, 2 Полевой пер., 2, корп.3",421,7718202006,"ООО ""Гаммамед Фарм"""
"Чита, ул.Ленина, 58",422,7532001079,"МУП ""Аптека №2"""
"404111 г.Волжский ул.Молодежная,30,  ул.Советская, 34",423,3435083657,"ООО ""Планета жизни"""
"432045, г.Ульяновск, ул.Ефремова, 49",426,7327053290,"ООО ""Фортуна-Фарм"""
"115201, г.Москва, 1-й Котляковский пер., 2, 672010, г.Чита, Ингодинский р-н, ул.Красноярская, 32А, стр.1",427,7724659263,"ООО ""СК Лаборатория"""
,428,,"ООО ""Биогем-2"""
"г.Тамбов, ул.Советская, 179",429,6832035253,"ООО ""Диета-1"""
"430030, г.Саранск, ул.Строительная, 8",433,1327153335,"ООО ""Медлинг"""
"644024, г.Омск, ул.Лермонтова, 62",439,5504210567,"ООО ""Компания ""Медэкспорт"""
"117467, г.Москва, ул.Профсоюзная, 109",442,7736217767,"ООО ""Здоровье для всех"""
"115201, г.Москва, ул.Подольских Курсантов, 10",443,7724575260,"ООО ""Ведант"""
"123103, г.Москва, проспект Маршала Жукова, д.74, корп. 2",444,7734223211,"ООО ""Сайлент 2000"""
"624130, г.Новоуральск, ул.Мичурина, 7А",445,6629003286,"МУП ""Аптека"""
"г. Владивосток, р-н Ленинский, ул. Адмирала Юмашева, 6/а",446,2536035810,"МУП ""Аптека №88"""
